Date,Open,High,Low,Close
9/01/2023,0.14%,0.16%,0.30%,0.16%
08/25/2023,0.12%,0.00%,0.14%,0.00%
08/18/2023,0.11%,0.11%,0.12%,0.12%
8/10/2023,0.10%,0.10%,0.11%,0.11%
8/04/2023,0.10%,0.10%,0.11%,0.10%
07/28/2023,0.13%,0.10%,0.13%,0.10%
07/21/2023,0.15%,0.13%,0.15%,0.13%
07/14/2023,0.12%,0.13%,0.15%,0.15%
7/07/2023,0.12%,0.12%,0.13%,0.12%
06/30/2023,0.12%,0.11%,0.12%,0.12%
06/23/2023,0.14%,0.12%,0.15%,0.12%
06/16/2023,0.18%,0.14%,0.18%,0.14%
6/09/2023,0.18%,0.18%,0.19%,0.18%
6/02/2023,0.19%,0.17%,0.19%,0.18%
05/26/2023,0.17%,0.17%,0.19%,0.19%
05/19/2023,0.17%,0.17%,0.17%,0.17%
5/12/2023,0.17%,0.17%,0.17%,0.17%
5/04/2023,0.18%,0.00%,0.18%,0.00%
04/28/2023,0.18%,0.18%,0.19%,0.18%
04/21/2023,0.21%,0.16%,0.21%,0.18%
04/14/2023,0.21%,0.21%,0.30%,0.21%
4/07/2023,0.25%,0.19%,0.25%,0.21%
03/31/2023,0.27%,0.25%,0.28%,0.25%
03/24/2023,0.27%,0.27%,0.29%,0.27%
03/17/2023,0.19%,0.19%,0.27%,0.27%
3/10/2023,0.18%,0.18%,0.19%,0.19%
3/03/2023,0.14%,0.17%,0.18%,0.18%
02/24/2023,0.16%,0.14%,0.16%,0.14%
02/17/2023,0.18%,0.16%,0.18%,0.16%
2/10/2023,0.17%,0.17%,0.18%,0.18%
2/03/2023,0.17%,0.17%,0.17%,0.17%
01/27/2023,0.17%,0.17%,0.18%,0.17%
01/20/2023,0.17%,0.17%,0.19%,0.17%
01/13/2023,0.12%,0.12%,0.17%,0.17%
1/06/2023,0.18%,0.00%,0.18%,0.12%
12/30/2022,0.18%,0.18%,0.18%,0.18%
12/23/2022,0.15%,0.15%,0.18%,0.18%
12/16/2022,0.17%,0.15%,0.19%,0.15%
12/09/2022,0.17%,0.17%,0.17%,0.17%
12/02/2022,0.20%,0.17%,0.20%,0.17%
11/25/2022,0.12%,0.13%,0.20%,0.20%
11/18/2022,0.13%,0.12%,0.19%,0.12%
11/11/2022,0.12%,0.11%,0.13%,0.13%
11/04/2022,0.13%,0.12%,0.14%,0.12%
10/28/2022,0.19%,0.13%,0.19%,0.13%
10/21/2022,0.16%,0.16%,0.19%,0.19%
10/14/2022,0.27%,0.16%,0.27%,0.16%
10/07/2022,0.25%,0.27%,0.27%,0.27%
09/30/2022,0.23%,0.23%,0.25%,0.25%
09/22/2022,0.12%,0.12%,0.23%,0.23%
09/16/2022,0.13%,0.12%,0.13%,0.12%
9/09/2022,0.11%,0.11%,0.13%,0.13%
9/02/2022,0.11%,0.11%,0.11%,0.11%
08/26/2022,0.12%,0.11%,0.13%,0.11%
08/19/2022,0.11%,0.11%,0.13%,0.12%
8/12/2022,0.13%,0.11%,0.13%,0.11%
8/05/2022,0.15%,0.13%,0.15%,0.13%
07/29/2022,0.16%,0.15%,0.16%,0.15%
07/22/2022,0.15%,0.14%,0.16%,0.16%
07/15/2022,0.15%,0.15%,0.15%,0.15%
7/08/2022,0.14%,0.14%,0.15%,0.15%
7/01/2022,0.17%,0.14%,0.17%,0.14%
06/24/2022,0.20%,0.17%,0.20%,0.17%
06/17/2022,0.09%,0.09%,0.20%,0.20%
6/10/2022,0.10%,0.09%,0.10%,0.09%
6/03/2022,0.11%,0.09%,0.11%,0.10%
05/27/2022,0.12%,0.11%,0.12%,0.11%
05/20/2022,0.12%,0.12%,0.13%,0.12%
05/13/2022,0.14%,0.12%,0.14%,0.12%
5/06/2022,0.15%,0.14%,0.15%,0.14%
04/28/2022,0.12%,0.15%,0.15%,0.15%
04/22/2022,0.10%,0.10%,0.12%,0.12%
04/15/2022,0.12%,0.10%,0.13%,0.10%
4/08/2022,0.10%,0.10%,0.12%,0.12%
4/01/2022,0.08%,0.08%,0.10%,0.10%
03/25/2022,0.08%,0.08%,0.08%,0.08%
03/18/2022,0.09%,0.07%,0.09%,0.08%
3/11/2022,0.09%,0.08%,0.09%,0.09%
3/04/2022,0.08%,0.08%,0.09%,0.09%
02/25/2022,0.08%,0.08%,0.08%,0.08%
02/18/2022,0.09%,0.08%,0.09%,0.08%
2/10/2022,0.09%,0.09%,0.09%,0.09%
2/04/2022,0.09%,0.09%,0.10%,0.09%
01/28/2022,0.09%,0.09%,0.09%,0.09%
01/21/2022,0.09%,0.09%,0.09%,0.09%
01/14/2022,0.10%,0.09%,0.10%,0.09%
1/07/2022,0.12%,0.10%,0.16%,0.10%
12/30/2021,0.12%,0.11%,0.13%,0.12%
12/24/2021,0.11%,0.11%,0.12%,0.12%
12/17/2021,0.12%,0.11%,0.12%,0.11%
12/10/2021,0.14%,0.12%,0.14%,0.12%
12/03/2021,0.15%,0.14%,0.16%,0.14%
11/26/2021,0.12%,0.15%,0.16%,0.15%
11/19/2021,0.12%,0.12%,0.14%,0.12%
11/12/2021,0.12%,0.11%,0.12%,0.12%
11/05/2021,0.11%,0.10%,0.12%,0.12%
10/29/2021,0.11%,0.10%,0.11%,0.11%
10/22/2021,0.11%,0.04%,0.12%,0.11%
10/15/2021,0.12%,0.10%,0.12%,0.11%
10/08/2021,0.13%,0.12%,0.13%,0.12%
10/01/2021,0.11%,0.11%,0.14%,0.13%
09/24/2021,0.11%,0.10%,0.11%,0.11%
09/17/2021,0.11%,0.11%,0.12%,0.11%
9/10/2021,0.12%,0.11%,0.12%,0.11%
9/03/2021,0.12%,0.11%,0.12%,0.12%
08/27/2021,0.12%,0.11%,0.12%,0.12%
08/20/2021,0.12%,0.11%,0.15%,0.12%
08/13/2021,0.11%,0.10%,0.12%,0.12%
8/06/2021,0.11%,0.10%,0.11%,0.11%
07/30/2021,0.11%,0.10%,0.11%,0.11%
07/22/2021,0.12%,0.11%,0.12%,0.11%
07/16/2021,0.10%,0.09%,0.12%,0.12%
7/09/2021,0.10%,0.09%,0.10%,0.10%
7/02/2021,0.10%,0.09%,0.10%,0.10%
06/25/2021,0.10%,0.09%,0.10%,0.10%
06/18/2021,0.10%,0.09%,0.10%,0.10%
6/11/2021,0.10%,0.10%,0.10%,0.10%
6/04/2021,0.10%,0.10%,0.11%,0.10%
05/28/2021,0.11%,0.10%,0.13%,0.10%
05/21/2021,0.10%,0.10%,0.11%,0.11%
05/14/2021,0.10%,0.09%,0.10%,0.10%
5/07/2021,0.10%,0.10%,0.10%,0.10%
04/30/2021,0.10%,0.10%,0.11%,0.10%
04/23/2021,0.10%,0.09%,0.10%,0.10%
04/16/2021,0.10%,0.09%,0.10%,0.10%
