GICS Sector,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Tele/Communications,11.06%,9.50%,11.42%,9.08%,9.37%,7.30%,8.50%
Consumer Discretionary,20.38%,18.79%,21.81%,20.56%,21.10%,19.83%,21.59%
Consumer Staples,6.38%,6.22%,6.50%,9.10%,11.74%,9.41%,9.69%
Energy,0.29%,0.25%,0.20%,0.33%,0.46%,0.47%,0.39%
Financials,3.11%,2.03%,1.98%,2.40%,2.62%,2.84%,3.04%
Health Care,13.12%,12.20%,14.44%,13.05%,11.36%,9.55%,9.51%
Industrials,19.44%,19.32%,18.37%,19.36%,19.89%,22.68%,21.10%
Information Technology,18.83%,23.95%,17.18%,17.56%,13.70%,17.20%,15.03%
Materials,5.70%,6.13%,6.49%,6.28%,7.16%,8.21%,8.31%
Utilities,1.53%,0.13%,0.15%,0.19%,0.25%,0.21%,0.28%
Real Estate,0.16%,1.47%,1.47%,2.08%,2.35%,2.30%,2.55%
